source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2026,393,CG-SOBEY'S QUEBEC,TDL,TDL CAN,8105.0,000J5H5HE,Special,TD IGA AD  April 16-22 Scene points(price increase Agreement,Product ID not found in product list or no pack size
2026,414,CG-SOBEY'S QUEBEC,TDL,TDL CAN,28322.0,000ITIUBV,Special,TD SBYQ  Flap Up Beverage AD MAP WE March 5,Product ID not found in product list or no pack size
2026,445,CG-SOBEY'S QUEBEC,TDL,TDL CAN,45956.0,000ITIY69,Special,TD IGA Side Panel  2026 Promo May 14-July 8 300g  Org $29K,Product ID not found in product list or no pack size
2026,530,CG-SOBEY'S QUEBEC,TDL,TDL CAN,9018.0,000ITIV2V,Special,TD IGA AD July 9-15  HC 10ct 12ct - Scene Points (price incr,Product ID not found in product list or no pack size
2026,560,CG-SOBEY'S QUEBEC,TDL,TDL CAN,9076.0,000ITISDH,Special,TD IGA AD  July 23-29  300gr Bags ( Scene points price incre,Product ID not found in product list or no pack size
2026,670,CG-SOBEY'S QUEBEC,TDL,TDL CAN,90098.0,000ITISL2,Special,TD IGA Marche communautaire,Product ID not found in product list or no pack size
2026,672,CG-SOBEY'S QUEBEC,TDL,TDL CAN,90098.0,000ITIUEA,Special,TD SBYQ  Flap UpBeverage Original budget 26K,Product ID not found in product list or no pack size
2026,674,CG-SOBEY'S QUEBEC,TDL,TDL CAN,90098.0,000ITIV6O,Special,TD SBYQ  Scene points $25k Promo spend,Product ID not found in product list or no pack size
2026,1025,CG-SOBEY'S ROC,TDL,TDL CAN,82431.0,000J3T3HP,Ad Fee,TD Sobeys C9F25 Regular Ad Fee Lumpsum,Product ID not found in product list or no pack size
2026,1027,CG-SOBEY'S ROC,TDL,TDL CAN,82431.0,000J3T3HK,Ad Fee,TD Sobeys C9F25 Gold Tribute Coffee Lumpsum,Product ID not found in product list or no pack size
2026,1217,CG-SOBEY'S ROC,TDL,TDL CAN,98704.0,000J6XSFY,Ad Fee,TD Sobeys C3F26 SILVER PACKAGE 75k IN LIEU OF 2025 LT CRC,Product ID not found in product list or no pack size
2026,1219,CG-SOBEY'S ROC,TDL,TDL CAN,98704.0,000JE6AHT,Ad Fee,TD Sobeys C3F26 SILVER PACKAGE 60K IN LIEU OF 2025 LT CRC,Product ID not found in product list or no pack size
2026,1232,CG-SOBEY'S ROC,TDL,TDL CAN,76991.0,000J732EE,Ad Fee,TD Sobeys C3F26 TRIBUTE AD FEES,Product ID not found in product list or no pack size
2026,1245,CG-SOBEY'S ROC,TDL,TDL CAN,70230.0,000ISF5SB,Customer Event,TD Sob National Golf,Product ID not found in product list or no pack size
2026,1297,CG-SOBEY'S ROC,TDL,TDL CAN,5112.0,000ISF1WA,Contract,TD FRESHCO Golf Tournament,Product ID not found in product list or no pack size
2026,1400,CG-SOBEY'S ROC,TDL,TDL CAN,119142.0,000ISEZF3,Customer Event,TD Sob ATL Gift Gala Sponsor,Product ID not found in product list or no pack size
2026,1461,NA-AMAZON CANADA,TDL,TDL CAN,158853.0,000ITPLYK,Special,TD 2025 Amzn Business Discount,Product ID not found in product list or no pack size
2026,1463,NA-AMAZON CANADA,TDL,TDL CAN,350000.0,000ITPMUK,Special,TD 2026 Amzn Marketing Co-Op $100k annual,Product ID not found in product list or no pack size
2026,1595,NA-AMAZON CANADA,TDL,TDL CAN,31368.0,000ITPMZ2,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment June,Product ID not found in product list or no pack size
2026,1603,NA-AMAZON CANADA,TDL,TDL CAN,25980.0,000ITPMZ7,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment July,Product ID not found in product list or no pack size
2026,1607,NA-AMAZON CANADA,TDL,TDL CAN,25192.0,000ITPMZC,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment August,Product ID not found in product list or no pack size
2026,1609,NA-AMAZON CANADA,TDL,TDL CAN,25975.0,000ITPLZN,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment September,Product ID not found in product list or no pack size
2026,1613,NA-AMAZON CANADA,TDL,TDL CAN,27506.0,000ITPLVT,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment October,Product ID not found in product list or no pack size
2026,1615,NA-AMAZON CANADA,TDL,TDL CAN,27836.0,000ITPNHX,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment November,Product ID not found in product list or no pack size
2026,1629,NA-AMAZON CANADA,TDL,TDL CAN,27290.0,000ITPMY5,Special,TD 2025 Amzn B2B $50k Accrual - monthly payment December,Product ID not found in product list or no pack size
2026,2576,NA-HIGHLAND FARMS,TDL,TDL CAN,300.0,000ITZ10Y,Flyer,"TD - Aug - Sept R&G 30ct & 300g, 930g",Product ID not found in product list or no pack size
2026,2752,NA-LOBLAWS,TDSSKC,SS K COMP,323369.0,000J7OJYZ,TPR/ISF,TD LCL & SDM - R&G & SS 25% Flowback from Cancelled Promos,Product ID not found in product list or no pack size
