comparison_key,product_id,product,blended_product_group,blended_mpg,separate_product_group,separate_mpg,cases_per_display,converted,conversion_note
yoy,6320920672,TDL ORG/CANDY HOT CHOC DISPLAY 36/500 GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
yoy,6320924585,TDL ORG/CANDY HOT CHOC 1/2 DRP 240/500 G,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 240/500g,20.0,yes,Display pack 240/500G converted to regular case pack 12/500G
yoy,TDHBHC-36/500,HB HOT CHOCOLATE 36/500GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
yoy,TDHBHC-36/1,HB HOT CHOCOLATE 36/1 EA,Hot Chocolate,HB Hot Chocolate 36/1ea,Hot Chocolate Displays,HB Hot Chocolate 36/1ea,1.0,no,Display product without matching regular pack; left as reported cases
yoy,6320917577,TDL HOT CHOCOLATE 1/2 DRP 144/1.5 KG,Hot Chocolate,HB Hot Chocolate 6/1.5kg,Hot Chocolate Displays,HB Hot Chocolate 144/1.5kg,24.0,yes,Display pack 144/1.5KG converted to regular case pack 6/1.5KG
yoy,6320912136,*TDL ORIG/CRML/FV HC KCUPDISPLAY 48/10CT,Hot Chocolate,HB Hot Chocolate 6/10ct,Hot Chocolate Displays,HB Hot Chocolate 48/10ct,8.0,yes,Display pack 48/10CT converted to regular case pack 6/10CT
yoy,6320925922,TDL INST MED/IC SYR CAP/MOC 1/2DRP 288EA,Instant,Instant & Syrup Drp 288/1ea,Instant Displays,Instant & Syrup Drp 288/1ea,1.0,no,Display product without matching regular pack; left as reported cases
yoy,6320912112,TDL INSTANT COFFEE MEDIUM DISPLY36/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 36/100g,3.0,yes,Display pack 36/100G converted to regular case pack 12/100G
yoy,6320915513,TDL INSTANT MED/DR/DCF 1/2 DRP 288/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 288/100g,24.0,yes,Display pack 288/100G converted to regular case pack 12/100G
yoy,6320917762,TDL INSTANT COFFEE MED FLR DISP 60/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 60/100g,5.0,yes,Display pack 60/100G converted to regular case pack 12/100G
yoy,TDIC-36/100,INSTANT COFFEE 36/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 36/100g,3.0,yes,Display pack 36/100G converted to regular case pack 12/100G
yoy,TDIC-60/100,INSTANT COFFEE 60/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 60/100g,5.0,yes,Display pack 60/100G converted to regular case pack 12/100G
yoy,6320919390,TDL NCOMP PDQ 24/10 CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 24/10ct,2.4,yes,Display pack 24/10CT converted to regular case pack 10/10CT
yoy,6320919391,*TDL NCOMP DISPLAY 32/10 CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 32/10ct,3.2,yes,Display pack 32/10CT converted to regular case pack 10/10CT
yoy,6320923323,TDL NCOMP DISPLAY 32/10 CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 32/10ct,3.2,yes,Display pack 32/10CT converted to regular case pack 10/10CT
yoy,TDNC-32/10,NCOMP 32/10CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 32/10ct,3.2,yes,Display pack 32/10CT converted to regular case pack 10/10CT
yoy,6320909464,TDL COFFEE FINE/DARK HALF DRP 126/930GR,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
yoy,6320923706,TDL COFFEE FINE GRIND 1/2 DRP 126/875 GR,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
yoy,6320923707,TDL COFFEE FINE/DARK 1/2 DRP 126/1 EA,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
yoy,TDRGLC-126/930,R&G LARGE CAN 126/930GR,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
yoy,6320909608,*TDL ORGINAL/DARK DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
yoy,6320912138,TDL ORIGINAL COFFEE DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
yoy,6320912139,TDL ORG/DR COFFEE DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
